ResultId;AthleteId;RaceId;RaceName;Gender;Birthyear;CountryIso;County;Municipality;Status;ActualStartTime;FinishNetto;Place;PlaceClass;PlaceTotal;_5Km;_10Km;_15Km;_20Km
566762;107164;267;Göteborgsvarvet 2010;M;1974;SWE;VÄSTMANLAND;VÄSTERÅS;FNS; 14:25:18;02:07:05;16522;0;20461;00:27:32;00:54:43;01:27:22;02:00:25
609585;141682;267;Göteborgsvarvet 2010;F;1975;SWE;VÄSTRA GÖTALAND;PARTILLE;FNS; 13:50:25;01:39:51;193;0;2617;00:22:20;00:45:32;01:09:59;01:34:59
609738;40800;267;Göteborgsvarvet 2010;M;1962;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 13:50:51;01:56:15;10072;0;11636;00:25:02;00:50:09;01:17:09;01:49:01
585657;229163;267;Göteborgsvarvet 2010;M;1990;SWE;VÄSTRA GÖTALAND;ALE;FNS; 14:31:52;02:04:28;15067;0;18363;00:26:12;00:54:05;01:25:20;01:58:58
582209;253493;267;Göteborgsvarvet 2010;F;1977;SWE;VÄSTRA GÖTALAND;UDDEVALLA;FNS; 14:17:33;01:59:12;2109;0;14122;00:26:33;00:54:45;01:24:42;01:53:41
574516;207521;267;Göteborgsvarvet 2010;M;1969;SWE;JÖNKÖPING;VÄRNAMO;FNS; 14:44:29;02:00:36;12936;0;15349;00:26:48;00:55:27;01:24:25;01:54:23
576503;21956;267;Göteborgsvarvet 2010;M;1971;SWE;SKÅNE;HELSINGBORG;FNS; 15:55:30;01:56:51;10464;0;12110;00:26:58;00:53:35;01:20:35;01:50:36
572270;57447;267;Göteborgsvarvet 2010;M;1982;SWE;VÄSTRA GÖTALAND;BORÅS;FNS; 13:33:33;01:23:39;186;0;199;00:19:54;00:39:28;00:59:15;01:19:33
603592;72446;267;Göteborgsvarvet 2010;M;1947;SWE;VÄSTRA GÖTALAND;HJO;FNS; 14:52:55;02:36:39;25687;0;35292;00:32:25;01:07:27;01:45:32;02:28:29
576139;251297;267;Göteborgsvarvet 2010;M;1979;SWE;VÄSTRA GÖTALAND;BORÅS;FNS; 13:34:52;01:47:29;5210;0;5776;00:22:27;00:47:42;01:14:37;01:41:50
